一	one
個	individual
健	healthy
側	side
侍	waiter
停	halt
値	price
倣	emulate
倒	overthrow
偵	spy
僧	Buddhist priest
億	hundred million
儀	ceremony
償	reparation
仙	hermit
催	sponsor
仁	humanity
侮	scorn
使	use
便	convenience
倍	double
優	tenderness
伐	fell
宿	inn
傷	wound
保	protect
褒	praise
傑	greatness
付	adhere
符	token
府	borough/municipality
任	responsibility
賃	fare
代	substitute
袋	sack
貸	lend
化	change
花	flower
貨	freight
傾	lean
何	what
荷	baggage
俊	sagacious
傍	bystander
久	long time
畝	furrow
囚	captured
内	inside
丙	third class
柄	design
肉	meat
腐	rot
座	squat/sit
卒	graduate
傘	umbrella
匁	monme
以	by means of
似	becoming/similar
併	join
瓦	tile
瓶	flower pot
宮	Shinto shrine
営	occupation
善	virtuous
年	year
夜	night
液	fluid
塚	hillock
幣	cash
弊	abuse
喚	yell
換	interchange
融	dissolve
施	alms
旋	rotation
遊	play
旅	trip
勿	not
物	thing
易	easy
賜	grant
尿	urine
尼	nun
泥	mud
塀	fence
履	footgear
屋	roof
握	grip
屈	yield
掘	dig
堀	ditch
居	reside
据	set
層	stratum
局	bureau
遅	slow
漏	leak
刷	printing
尺	shaku
尽	exhaust
沢	swamp
訳	translate
択	choose
昼	daytime
戸	door
肩	shoulder
房	tassel
扇	fan
炉	hearth
戻	re-
涙	tears
雇	employ
顧	look back
啓	disclose
示	show
礼	salute/salutation
祥	auspicious
祝	celebrate
福	blessing
祉	welfare
社	company
視	inspection
奈	Nara
尉	military officer
慰	consolation
款	goodwill
禁	prohibition
襟	collar
宗	religion
崇	adore
祭	ritual
察	guess
擦	grate
由	wherefore
抽	pluck
油	oil
袖	sleeve
宙	mid-air
届	deliver
笛	flute
軸	axis
甲	armor
押	push
岬	headland
挿	insert
申	speaketh
伸	expand
神	gods
捜	search
果	fruit
菓	candy/confectionary
課	chapter
裸	naked
斤	axe
析	chop
所	place
祈	pray
近	near
折	fold
哲	philosophy
逝	departed
誓	vow
暫	temporarily
漸	steadily
断	severance
質	substance
斥	reject
訴	accusation
昨	yesterday
詐	lie
作	make
雪	snow
録	record
尋	inquire
急	hurry
穏	calm
侵	encroach
浸	immersed
寝	lie down
婦	lady
掃	sweep
当	hit
争	contend
浄	clean
事	matter
唐	T'ang
糖	sugar
康	ease/sane
逮	apprehend
伊	Italy
君	old boy
群	flock
耐	-proof
需	demand
儒	Confucian
端	edge
両	both
満	full
画	brush stroke
歯	tooth
曲	bend
曹	cadet
遭	encounter
漕	rowing
槽	vat
斗	Big Dipper
料	fee
科	department
図	map
用	utilize
庸	commonplace/comfortable
備	equip
昔	once upon a time
錯	confused
借	borrow
惜	pity
措	set aside
散	scatter
廿	twenty
庶	commoner
遮	intercept
席	seat
度	degrees
渡	transit
奔	bustle
噴	erupt
墳	tomb
憤	aroused
焼	bake
暁	daybreak
半	half
伴	consort
畔	paddy-ridge
判	judgment
券	ticket
巻	scroll
圏	sphere
勝	victory
藤	wisteria
謄	mimeograph/facsimile
片	one-sided
版	printing block
之	of
乏	destitution
芝	turf
不	negative
否	negate
杯	cupfuls
矢	dart
矯	rectify
族	tribe
知	know
智	wisdom
矛	halberd
柔	tender
務	task
霧	fog
班	squad
帰	homecoming
弓	bow
引	pull
弔	condolences
弘	vast
強	strong
弱	weak
沸	seethe
費	expense
第	No.
弟	younger brother
巧	adroit
号	nickname
朽	decay
誇	boast
汚	dirty
与	bestow
写	copy
身	somebody
射	shoot
謝	apologize
老	old man
考	consider
孝	filial piety
教	teach
拷	torture
者	someone
煮	boil
著	renowned
署	signature
暑	sultry
諸	various
猪	boar
渚	strand
賭	gamble
峡	gorge
狭	cramped
挟	sandwiched
追	chase
師	expert
帥	commander
官	bureaucrat
棺	coffin
管	pipe
父	father
交	mingle
効	merit
較	contrast
校	exam
足	leg
促	stimulate
距	long-distance
路	path
露	dew
跳	hop
躍	leap
践	tread
踏	step
骨	skeleton
滑	slippery
髄	marrow
禍	calamity
渦	whirlpool
過	overdo
阪	Heights
阿	Africa
際	occasion
障	hinder
随	follow
陪	obeisance/auxiliary
陽	sunshine
陳	exhibit/line up
防	ward off
附	affixed
院	Inst.
陣	camp
隊	regiment
墜	crash
降	descend
階	storey
陛	highness
隣	neighboring
隔	isolate
隠	conceal
堕	degenerate
陥	collapse
穴	hole
空	empty
控	withdraw
突	stab
究	research
窒	plug up
窃	stealth
窪	depression
搾	squeeze
窯	kiln
窮	hard up
探	grope
深	deep
丘	hill
岳	Point
兵	soldier
浜	seacoast
糸	thread
織	weave
繕	darning
縮	shrink
繁	luxuriant
縦	vertical
線	line
締	tighten
維	fiber
羅	gauze
練	practice
緒	thong
続	continue
絵	picture
統	overall
絞	strangle
給	salary
絡	entwine
結	tie
終	end
級	class
紀	chronicle
紅	crimson
納	settlement
紡	spinning
紛	distract
紹	introduce
経	sutra
紳	sire
約	promise
細	dainty
累	accumulate
索	cord
総	general
綿	cotton
絹	silk
繰	winding
継	inherit
緑	green
縁	affinity
網	netting
緊	tense
紫	purple
縛	truss
縄	straw rope
幼	infancy
後	behind
幽	seclude/faint
幾	how many
機	mechanism
玄	mysterious
畜	livestock
蓄	amass
弦	bowstring
擁	hug
滋	nourishing
慈	mercy
磁	magnet
系	lineage
係	person in charge
孫	grandchild
懸	suspend
却	instead
脚	skids/shins
卸	wholesale
御	honorable
服	clothing
命	fate
令	orders
零	zero
齢	age
冷	cool
領	jurisdiction
鈴	small bell
勇	courage
通	traffic
踊	jump
疑	doubt
擬	mimic
凝	congeal
範	pattern
犯	crime
厄	unlucky
危	dangerous
宛	address
腕	arm
苑	garden
怨	grudge
柳	willow
卵	egg
留	detain
貿	trade
印	stamp
興	entertain
酉	sign of the bird
酒	sake
酌	bartending
酵	fermentation
酷	cruel
酬	repay
酪	dairy products
酢	vinegar
酔	drunk
配	distribute
酸	acid
猶	furthermore/waver
尊	revered
豆	beans
頭	head
短	short
豊	bountiful
鼓	drum
喜	rejoice
樹	timber-trees
皿	dish
血	blood
盆	basin
盟	alliance
盗	steal
温	warm
監	oversee
濫	overflow
鑑	specimen
猛	fierce
盛	boom
塩	salt
銀	silver
恨	regret/resentment
根	root
即	instant
爵	baron
節	node
退	retreat
限	limit
眼	eyeball
良	good
朗	melodious
浪	wandering
娘	daughter
食	eat
飯	meal
飲	drink
飢	hungry
餓	starve
飾	decorate
館	Bldg.
養	foster
飽	sated
既	previously
概	outline
慨	rue
平	even
呼	call
坪	two-mat area
評	evaluate
刈	reap
希	hope
凶	villain
胸	bosom
離	detach
殺	kill
純	genuine
鈍	dull
辛	spicy
辞	resign
梓	catalpa
宰	superintend
壁	wall
避	evade
新	new
薪	fuel/firewood
親	parent
幸	happiness
執	tenacious
報	report
叫	shout
糾	twist
収	income
卑	lowly
碑	tombstone
陸	land
睦	intimate
勢	forces
熱	heat
菱	diamond
陵	mausoleum
亥	sign of the hog
核	nucleus
刻	engrave
該	above-stated
劾	censure
述	mention
術	art
寒	cold
醸	brew
譲	defer
壌	lot
嬢	lass
毒	poison
素	elementary
麦	barley
青	blue
精	refined
請	solicit
情	feelings
晴	clear up
清	pure
静	quiet
責	blame
績	exploits
積	volume
債	bond
漬	pickling
表	surface
俵	bag
潔	undefiled
契	pledge
喫	consume
害	harm
轄	control
割	proportion
憲	constitution
生	life
星	star
姓	surname
性	sex
牲	animal sacrifice
産	products
隆	hump
峰	summit
縫	sew
拝	worship
寿	longevity
鋳	casting
籍	enroll
春	springtime
椿	camellia
泰	peaceful
奏	play music
実	reality
奉	observance/dedicate
俸	stipend
棒	rod
謹	discreet
勤	diligence
漢	Sino-
嘆	sigh
難	difficult
華	splendor
垂	droop
睡	drowsy
錘	spindle
乗	ride
剰	surplus
今	now
含	include
吟	versify
念	wish
琴	harp
陰	shade
予	beforehand
序	preface
預	deposit
野	plains
兼	concurrently
嫌	dislike
鎌	sickle
謙	self-effacing
廉	bargain
西	west
価	value
要	need
腰	loins
票	ballot
漂	drift
標	signpost
栗	chestnut
遷	transition
覆	capsize
煙	smoke
南	south
楠	camphor tree
献	offering
門	gates
問	question
閲	review
閥	clique
間	interval
簡	simplicity
開	open
閉	closed
閣	tower
閑	leisure
聞	hear
潤	wet
欄	column
闘	fight
倉	godown
創	genesis
非	un-
俳	haiku
排	repudiate
悲	sad
罪	guilt
輩	comrade
扉	front door
侯	marquis
候	climate
決	decide
快	cheerful
偉	admirable
違	difference
緯	horizontal
衛	defense
韓	Korea
干	dry
肝	liver
刊	publish
汗	sweat
軒	flats
岸	beach
幹	tree-trunk
芋	potato
宇	eaves
余	too much
除	exclude
徐	gradually
叙	confer
途	route
斜	diagonal
塗	paint
束	bundle
頼	trust
瀬	rapids
勅	imperial order
疎	alienate
速	quick
整	organize
剣	sabre/saber
険	precipitous
検	examination
倹	frugal
重	heavy
動	move
勲	meritorious deed
働	work
種	species
衝	collide
薫	fragrant
病	ill
痴	stupid
痘	pox
症	symptoms
疾	rapidly
痢	diarrhea
疲	exhausted/tired
疫	epidemic
痛	pain
癖	mannerism
匿	hide
匠	artisan
医	doctor
匹	equal
区	ward
枢	hinge
殴	assault
欧	Europe
抑	repress
仰	face-up
迎	welcome
登	ascend
澄	lucidity
発	discharge
廃	abolish
僚	colleague
寮	dormitory
療	heal
彫	carve
形	shape
影	shadow
杉	cedar
彩	coloring
彰	patent
彦	lad
顔	face
須	ought
膨	swell
参	nonplussed/visit
惨	wretched
修	discipline
珍	rare
診	check-up
文	sentence
対	vis-a-vis
紋	family crest
蚊	mosquito
斉	adjusted
剤	dose
済	finish
斎	purification
粛	solemn
塁	bases
楽	music
薬	medicine
率	ratio
渋	astringent
摂	vicarious
央	center
英	England
映	reflect
赤	red
赦	pardon
変	unusual
跡	tracks
蛮	barbarian
恋	romance
湾	gulf
黄	yellow
横	sideways
把	grasp
色	color
絶	discontinue
艶	glossy
肥	fertilizer
甘	sweet
紺	navy blue
某	so-and-so
謀	conspire
媒	mediator
欺	deceit
棋	chess piece
旗	national flag
期	period
碁	Go
基	fundamentals
甚	tremendously
勘	intuition
堪	withstand
貴	precious
遺	bequeath
遣	dispatch
舞	dance
無	nothingness
組	association
粗	coarse
租	tariff
祖	ancestor
阻	thwart
査	investigate
助	help
宜	best regards
畳	tatami mat
並	row
普	universal
譜	musical score
湿	damp
顕	appear
繊	slender
霊	spirits
業	business/profession
撲	slap
僕	me
共	together
供	submit
異	uncommon
翼	wing
洪	deluge
港	harbor
暴	outburst
爆	bomb
恭	respect
選	elect
殿	Mr.
井	well
囲	surround
耕	till
亜	Asia
悪	bad
円	circle
角	angle
触	contact
解	unravel
再	again
講	lecture
購	subscription
構	posture
溝	gutter
論	argument
倫	ethics
輪	wheel
偏	partial
遍	everywhere
編	compilation
冊	tome
典	code
氏	family name
紙	paper
婚	marriage
低	lower
抵	resist
底	bottom
民	people
眠	sleep
捕	catch
浦	bay
蒲	bulrush
舗	shop
補	supplement
邸	residence
郭	enclosure
郡	county
郊	outskirts
部	section
都	metropolis
郵	mail
邦	home country
郷	home town
響	echo
郎	son
廊	corridor
盾	shield
循	sequential
派	faction
脈	vein
衆	masses
逓	parcel post
段	grade
鍛	forge
后	empress
幻	phantasm
司	director
伺	pay respects
詞	parts of speech
飼	domesticate
嗣	heir
舟	boat
舶	liner
航	navigate
般	carrier
盤	tray
搬	conveyor
船	ship
艦	warship
艇	rowboat
瓜	melon
弧	arc
孤	orphan
繭	cocoon
益	benefit
暇	spare time
敷	spread
来	come
気	spirit
汽	vapor
飛	fly
沈	sink
妻	wife
衰	decline
衷	inmost
面	mask
革	leather
靴	shoes
覇	hegemony
声	voice
呉	give
娯	recreation
誤	mistake
蒸	steam
承	acquiesce
函	bin
極	poles
牙	tusk
芽	bud
邪	wicked
雅	gracious
釈	explanation/interpretation
番	turn
審	hearing
翻	flip
藩	clan
毛	fur
耗	decrease
尾	tail
宅	home
託	consign
為	do
偽	falsehood
長	long
張	lengthen
帳	notebook
脹	dilate
髪	hair of the head
展	unfold
喪	miss
巣	nest
単	simple
戦	war
禅	Zen
弾	bullet
桜	cherry tree
獣	animal
脳	brain
悩	trouble
厳	stern
鎖	chain
挙	raise
誉	reputation
猟	game-hunting
鳥	bird
鳴	chirp
鶴	crane
烏	crow
蔦	vine
鳩	pigeon
鶏	chicken
島	island
暖	warmth
媛	beautiful woman
援	abet
緩	slacken
属	belong
嘱	entrust
偶	accidentally
遇	interview
愚	foolish
隅	corner
逆	inverted
塑	model
岡	Mount
鋼	steel
綱	hawser
剛	sturdy
缶	tin can
陶	pottery
揺	swing
謡	Noh chanting
就	concerning
懇	sociable
墾	groundbreaking
免	excuse
逸	deviate/elude
晩	nightfall
勉	exertion
象	elephant
像	statue
馬	horse
駒	pony
験	verification
騎	equestrian
駐	stop-over/parking
駆	drive
駅	station
騒	boisterous
駄	burdensome
驚	wonder
篤	fervent
騰	inflation
虎	tiger
虜	captive
膚	skin
虚	void
戯	frolic
虞	uneasiness
慮	prudence
劇	drama
虐	tyrannize
鹿	deer
薦	recommend
慶	jubilation
麗	lovely
熊	bear
能	ability
態	attitude
寅	sign of the tiger
演	performance
辰	sign of the dragon
辱	embarrass
震	quake
振	shake
娠	with child
唇	lips
農	agriculture
濃	concentrated
送	escort/send off
関	connection
咲	blossom
鬼	ghost
醜	ugly
魂	soul
魔	witch
魅	fascination
塊	clod
襲	attack
嚇	menacing/upbraid
朕	majestic plural
雰	atmosphere
箇	item
錬	tempering
遵	abide by
罷	quit
屯	barracks
且	moreover
藻	seaweed
隷	slave
癒	healing
丹	rust-colored/cinnabar
潟	lagoon
丑	sign of the cow
卯	sign of the hare
巳	sign of the snake
此	this here
柴	brushwood
砦	fort
些	whit
髭	beard
璃	crystal
禽	fowl
檎	apple
憐	sympathize with
燐	phosphorus
麟	camelopard
鱗	scaled
奄	encompassing
庵	hermitage
掩	shrouded
俺	myself
悛	make amends
駿	steed
峻	steep
竣	complete a job
臼	mortar
舅	father-in-law
鼠	mouse
鑿	bore
毀	break
艘	small craft
犀	rhinoceros
皐	lunar month
脊	spinal column
畷	rice-field footpath
綴	mend
爾	let it be
璽	imperial seal
鎧	suit of armor
凱	triumph
妖	bewitched
沃	irrigate
呑	quaff
韮	leek
籤	lottery
懺	penitential
芻	hay
雛	chick
趨	scurry
尤	understandably
稽	training
厖	immense
采	grab
或	a
斬	chop off
兎	rabbit
也	est
尭	lofty
巴	comma-design
甫	offspring
疋	critters
菫	violet
曼	mandala
巾	towel
云	quote
卜	augury
喬	heaven-high
莫	shalt
倭	Yamato
侠	chivalry
倦	fed up
佼	comely
俄	abrupt
佃	work a field
伶	minstrel
仔	animal offspring
仇	foe
伽	look after
僅	trifle
僻	biased
儲	make a profit
倖	bliss
僑	emigrant
侶	partner
伎	performing artist
侃	integrity
倶	mate
侭	as is
佑	adjutant
俣	fork in a road
傭	hire
偲	memorial
脩	dried meat
倅	my son
做	make do
凄	nifty
冴	sharp
凋	wilt
凌	pull through
冶	metallurgy
凛	stately
凧	kite
凪	lull
夙	earlybird
鳳	phoenix
劉	slaughter
刹	moment
剥	peel off
剃	shave
匂	aroma
勾	flexed
厭	despondent
雁	wild goose
贋	counterfeit
厨	kitchen
仄	insinuate
哨	scout
嘲	derision
咎	reprehend
囁	whisper
喋	chatter
咽	windpipe
嘩	quarrel
噂	gossip
咳	cough
喧	clamor
喉	throat
唾	saliva
叩	bash
嘘	fib
啄	peck at
呪	curse
吠	barking
吊	dangle
噛	chew
叶	within my ability
吻	sides of the mouth
吃	stammer
噺	spin a tale
噌	miso
唄	pop song
叱	scold
邑	city walls
呆	dumbfounded
喰	ingest
埴	clay
坤	authochthonous
堆	piled high
壕	dugout
垢	blemish
坦	flat
埠	wharf
填	stuff up
堰	dam
堵	railing
嬰	suckling infant
姦	violate
妬	jealous
婢	handmaiden
婉	well finished
